Model,Protocol_1_BPCER@1,Protocol_1_BPCER@10,Protocol_1_BPCER@5,Protocol_1_EER,Protocol_2_BPCER@1,Protocol_2_BPCER@10,Protocol_2_BPCER@5,Protocol_2_EER,Protocol_3_BPCER@1,Protocol_3_BPCER@10,Protocol_3_BPCER@5,Protocol_3_EER,Protocol_4_BPCER@1,Protocol_4_BPCER@10,Protocol_4_BPCER@5,Protocol_4_EER
spatial_iPhone11_color,4.940711462450593,0.5533596837944664,1.9762845849802373,3.046772068511199,,,,,4.090480678605089,0.2827521206409048,0.6974552309142319,2.0280086444082674,,,,
pointnet2,91.6403162055336,71.7588932806324,80.88932806324111,37.45425267164397,99.05749293119699,74.08105560791705,85.42884071630537,35.606988832719274,95.26861451460886,76.6258246936852,86.14514608859567,38.79915237832297,94.1304347826087,67.82608695652173,78.41897233201581,35.85419411506368
spatial_iPhone11_depth,8.695652173913043,2.5098814229249014,4.229249011857707,4.493485580442102,,,,,9.36852026390198,1.244109330819981,2.4316682375117815,3.5207399156503776,,,,
spatial_channel_iPhone11_16_7,13.320158102766799,4.011857707509881,5.711462450592886,5.472844385887864,,,,,4.071630537229029,0.24505183788878418,0.7917059377945336,2.3565850144549483,,,,
spatial_channel_iPhone11_8_3,6.462450592885376,0.3952569169960474,0.9881422924901186,2.272727272727273,,,,,11.70593779453346,1.6022620169651274,4.938737040527804,4.971383644804946,,,,
spatial_channel_iPhone11_16_5,13.952569169960475,0.31620553359683795,1.4624505928853755,3.0270092226613965,,,,,8.595664467483505,1.0179076343072573,2.1489161168708764,3.201588616291727,,,,
pointnet,96.44268774703558,74.52569169960475,84.62450592885375,39.08395549699898,97.90763430725731,69.83977379830348,86.42789820923656,33.33019164310399,98.07728557964185,75.4382657869934,85.57964184731387,38.2312125337573,95.9090909090909,70.59288537549408,85.21739130434783,33.49985360854926
spatial_channel_iPhone11_4_5,6.660079051383399,1.0079051383399211,2.1343873517786562,3.261967501097936,,,,,16.39962299717248,1.6399622997172478,4.580584354382658,4.80238292443759,,,,
spatial_channel_iPhone11_4_5_mult,9.762845849802373,1.0869565217391304,3.7154150197628457,4.352583809105548,,,,,6.352497643732328,0.5843543826578699,1.7719132893496703,3.2813764411313895,,,,
channel_iPhone11_depth,8.241106719367588,0.9881422924901186,2.9446640316205532,3.944517640169814,,,,,6.597549481621112,1.2818096135721018,2.2243166823751177,3.380014407347112,,,,
channel_iPhone12_cmbd,,,,,9.42507068803016,0.8105560791705938,2.0169651272384543,3.351739195283022,,,,,13.003952569169961,0.6324110671936759,2.8853754940711465,3.8826672522324692
spatial_channel_iPhone12_depth,,,,,5.86239396795476,1.055607917059378,2.167766258246937,3.131225862140094,,,,,7.41106719367589,1.3241106719367588,3.1027667984189726,3.902430098082272
spatial_channel_iPhone12_8_7,,,,,15.306314797360981,1.6211121583411876,3.8265786993402453,4.253293221247981,,,,,15.355731225296443,2.7470355731225298,5.0395256916996045,5.002927829014786
spatial_channel_iPhone12_4_7,,,,,13.251649387370406,0.9802073515551367,2.1489161168708764,3.440952090810715,,,,,15.395256916996047,2.2134387351778657,4.8814229249011865,4.963402137315181
channel_iPhone12_depth,,,,,8.746465598491989,0.9613572101790764,2.35626767200754,3.619377881866101,,,,,13.754940711462451,1.383399209486166,4.071146245059289,4.3104962670180065
spatial_channel_iPhone12_4_5_mult,,,,,5.27803958529689,0.24505183788878418,0.9990574929311969,2.4363728392946116,,,,,6.284584980237154,1.2648221343873518,2.766798418972332,3.4548382374469333
spatial_iPhone12_color,,,,,6.48444863336475,0.5843543826578699,1.0933081998114986,2.347159943766918,,,,,5.395256916996048,1.3241106719367588,2.6877470355731226,3.363343580734885
spatial_channel_iPhone12_16_3,,,,,16.55042412818096,0.9613572101790764,2.3374175306314795,3.7883786022334567,,,,,9.209486166007904,1.1660079051383399,2.984189723320158,3.8010540184453228
spatial_channel_iPhone12_16_7,,,,,12.667295004712537,1.828463713477851,3.788878416588124,4.384593658863216,,,,,23.537549407114625,2.3320158102766797,4.565217391304348,4.8422632118284294
spatial_channel_iPhone12_4_5_add,,,,,7.879359095193214,1.1121583411875589,1.8661639962299716,3.032587895924371,,,,,12.09486166007905,3.0434782608695654,4.723320158102767,4.800175669740887
spatial_channel_iPhone12_4_5,,,,,4.995287464655985,0.6032045240339303,1.413760603204524,2.69458645518966,,,,,13.162055335968379,0.8102766798418972,2.450592885375494,3.556214317083882
spatial_iPhone12_cmbd,,,,,9.236569274269558,0.9048067860508954,2.4316682375117815,3.539590057026438,,,,,7.806324110671936,0.5533596837944664,2.5098814229249014,3.2001171131605917
spatial_channel_iPhone12_4_3,,,,,12.780395852968898,1.6399622997172478,3.883129123468426,4.445531342326818,,,,,13.379446640316207,2.5296442687747036,6.027667984189724,5.574220465524814
spatial_channel_iPhone12_8_5,,,,,6.99340245051838,1.0933081998114986,2.2620169651272386,3.013737754548311,,,,,16.71936758893281,1.2648221343873518,2.9051383399209483,4.117625530669009
spatial_channel_iPhone12_8_3,,,,,7.049952874646561,0.7351555136663526,2.0735155513666355,3.4598022321867745,,,,,9.881422924901186,1.7984189723320159,3.8537549407114624,4.290733421168204
channel_iPhone12_color,,,,,4.524033930254477,0.6220546654099905,1.715362865221489,2.6851613845016296,,,,,11.383399209486166,1.6798418972332017,4.1106719367588935,4.58498023715415
spatial_channel_iPhone12_color,,,,,11.347785108388313,0.8294062205466541,2.3751178133836004,3.549015127714468,,,,,13.18181818181818,0.8695652173913043,2.588932806324111,4.280851998243302
spatial_iPhone12_depth,,,,,9.839773798303488,0.5655042412818096,1.4703110273327051,2.8447370341809552,,,,,9.051383399209486,1.4624505928853755,3.339920948616601,4.045893719806763
spatial_channel_iPhone12_16_5,,,,,10.970782280867107,1.5457115928369463,2.997172478793591,3.5395900570264374,,,,,12.075098814229248,2.2529644268774702,4.1106719367588935,4.372346654955351
